sample,target,ct,quantity,log_quantity
Unditulted,N1,24.50570488,4000,3.602059991
Unditulted,N1,22.7922802,4000,3.602059991
Unditulted,N1,22.83028221,4000,3.602059991
Unditulted,N1,22.66526985,4000,3.602059991
Unditulted,N1,22.65884018,4000,3.602059991
Unditulted,N1,22.7016201,4000,3.602059991
Unditulted,N2,24.72276306,4000,3.602059991
Unditulted,N2,24.79263687,4000,3.602059991
Unditulted,N2,24.59858894,4000,3.602059991
Unditulted,N2,24.96547318,4000,3.602059991
Unditulted,N2,24.67272949,4000,3.602059991
Unditulted,N2,24.47982979,4000,3.602059991
1:5,N1,25.03813553,800,2.903089987
1:5,N1,24.89619446,800,2.903089987
1:5,N1,25.12371063,800,2.903089987
1:5,N1,24.92393494,800,2.903089987
1:5,N1,25.01206779,800,2.903089987
1:5,N1,25.03473473,800,2.903089987
1:5,N2,27.78082848,800,2.903089987
1:5,N2,27.20045662,800,2.903089987
1:5,N2,26.70348549,800,2.903089987
1:5,N2,27.3984623,800,2.903089987
1:5,N2,27.48816299,800,2.903089987
1:5,N2,26.94843292,800,2.903089987
1:25,N1,27.37226677,160,2.204119983
1:25,N1,27.36351013,160,2.204119983
1:25,N1,27.1479454,160,2.204119983
1:25,N1,27.05255318,160,2.204119983
1:25,N1,27.50031662,160,2.204119983
1:25,N1,26.42210579,160,2.204119983
1:25,N2,30.18209267,160,2.204119983
1:25,N2,29.55450058,160,2.204119983
1:25,N2,29.58228111,160,2.204119983
1:25,N2,29.44857407,160,2.204119983
1:25,N2,28.87952232,160,2.204119983
1:25,N2,29.56317711,160,2.204119983
1:125,N1,29.88985634,32,1.505149978
1:125,N1,29.60115242,32,1.505149978
1:125,N1,28.53926468,32,1.505149978
1:125,N2,32.43055344,32,1.505149978
1:125,N2,31.51907539,32,1.505149978
1:125,N2,31.43897629,32,1.505149978
1:125,N2,32.52843094,32,1.505149978
1:125,N2,31.81992912,32,1.505149978
1:125,N2,31.98180771,32,1.505149978
1:625,N1,32.43728256,6.4,0.806179974
1:625,N1,31.88185883,6.4,0.806179974
1:625,N1,32.11026001,6.4,0.806179974
1:625,N1,32.89492798,6.4,0.806179974
1:625,N1,31.95233727,6.4,0.806179974
1:625,N1,32.59207916,6.4,0.806179974
1:625,N2,34.79119873,6.4,0.806179974
1:625,N2,34.5562973,6.4,0.806179974
1:625,N2,34.70646667,6.4,0.806179974
1:625,N2,34.54985046,6.4,0.806179974
1:625,N2,35.79702377,6.4,0.806179974
1:625,N2,34.41877365,6.4,0.806179974
